t,y
0.0000000000000000e+00,1.0000000000000000e+00
5.0000000000000003e-02,1.0525000000000000e+00
1.0000000000000001e-01,1.1101250000000000e+00
1.5000000000000002e-01,1.1731312500000000e+00
2.0000000000000001e-01,1.2417878124999999e+00
2.5000000000000000e-01,1.3163772031249998e+00
3.0000000000000004e-01,1.3971960632812499e+00
3.5000000000000003e-01,1.4845558664453125e+00
4.0000000000000002e-01,1.5787836597675782e+00
4.5000000000000001e-01,1.6802228427559571e+00
5.0000000000000000e-01,1.7892339848937551e+00
