t,y0,y1
0.0000000000000000e+00,0.0000000000000000e+00,1.0000000000000000e+00
5.0000000000000003e-02,3.4764490144368615e-311,1.0000000000000000e+00
1.0000000000000001e-01,6.9528980288737231e-311,1.0000000000000000e+00
1.5000000000000002e-01,1.0429347043310585e-310,1.0000000000000000e+00
2.0000000000000001e-01,1.3905796057747446e-310,1.0000000000000000e+00
2.5000000000000000e-01,1.7382245072184308e-310,1.0000000000000000e+00
3.0000000000000004e-01,2.0858694086621169e-310,1.0000000000000000e+00
3.5000000000000003e-01,2.4335143101058031e-310,1.0000000000000000e+00
4.0000000000000002e-01,2.7811592115494892e-310,1.0000000000000000e+00
4.5000000000000001e-01,3.1288041129931754e-310,1.0000000000000000e+00
5.0000000000000000e-01,3.4764490144368615e-310,1.0000000000000000e+00
