t,y
0.0000000000000000e+00,1.0000000000000000e+00
5.0000000000000003e-02,1.0525421875000001e+00
1.0000000000000001e-01,1.1103418251086425e+00
1.5000000000000002e-01,1.1736684680433338e+00
2.0000000000000001e-01,1.2428054919123024e+00
2.5000000000000000e-01,1.3180508013011529e+00
3.0000000000000004e-01,1.3997175746894270e+00
3.5000000000000003e-01,1.4881350475598514e+00
4.0000000000000002e-01,1.5836493356584533e+00
4.5000000000000001e-01,1.6866243004641230e+00
5.0000000000000000e-01,1.7974424590317473e+00
